,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__class_weight,param_svc__shrinking,params,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_f1-score,split1_test_f1-score,split2_test_f1-score,mean_test_f1-score,std_test_f1-score,rank_test_f1-score,split0_test_AUPRC,split1_test_AUPRC,split2_test_AUPRC,mean_test_AUPRC,std_test_AUPRC,rank_test_AUPRC
0,97.45831831296285,0.35820059500590495,37.04854774475098,0.7184277768161036,1.0,,False,"{'svc__C': 1.0, 'svc__class_weight': None, 'svc__shrinking': False}",0.5982403572584412,0.5953994059669867,0.6090290391277657,0.6008896007843979,0.005871149431427064,20,0.5714285714285714,0.7894736842105263,0.6521739130434783,0.6710253895608588,0.09000907890203029,1,0.010938924339106655,0.013673655423883319,0.013673655423883319,0.01276207839562443,0.0012891645965114815,19,0.02146690518783542,0.02688172043010753,0.026785714285714288,0.025044779967885747,0.0025302431044243482,19,0.5499710423740746,0.6881046096144641,0.5875677171931354,0.6085477897272247,0.058311480758026474,2
1,88.56003586451213,3.26336066060343,39.23688475290934,1.2397659820857256,1.0,,True,"{'svc__C': 1.0, 'svc__class_weight': None, 'svc__shrinking': True}",0.5982444908432586,0.5953994059669867,0.6090270933923799,0.6008903300675418,0.005869628894664555,19,0.5714285714285714,0.7894736842105263,0.6521739130434783,0.6710253895608588,0.09000907890203029,1,0.010938924339106655,0.013673655423883319,0.013673655423883319,0.01276207839562443,0.0012891645965114815,19,0.02146690518783542,0.02688172043010753,0.026785714285714288,0.025044779967885747,0.0025302431044243482,19,0.5499879801524316,0.688108287964411,0.5875680474729954,0.6085547718632793,0.058307442680983666,1
2,103.111820936203,4.303854745447928,50.749860763549805,2.928886513492404,1.0,balanced,False,"{'svc__C': 1.0, 'svc__class_weight': 'balanced', 'svc__shrinking': False}",0.6633282700971854,0.668275708758436,0.664851700913231,0.6654852265896175,0.002068864972827686,1,0.31343283582089554,0.3182674199623352,0.31710709318497915,0.31626911632273663,0.002060736902405762,15,0.6125797629899726,0.6162260711030082,0.6235186873290793,0.6174415071406867,0.004547745228531095,1,0.4146868250539957,0.4197454206768084,0.4204056545789797,0.41827930010326125,0.0025545234305823015,1,0.4481443052880544,0.45788732035337165,0.44771647648315316,0.4512493673748597,0.004696990112847252,5
3,114.02342343330383,1.170745382200226,52.435039599736534,0.836833652759922,1.0,balanced,True,"{'svc__C': 1.0, 'svc__class_weight': 'balanced', 'svc__shrinking': True}",0.6633268111848971,0.6682718172876644,0.664851700913231,0.6654834431285975,0.0020676226298349714,2,0.31343283582089554,0.3182674199623352,0.31710709318497915,0.31626911632273663,0.002060736902405762,15,0.6125797629899726,0.6162260711030082,0.6235186873290793,0.6174415071406867,0.004547745228531095,1,0.4146868250539957,0.4197454206768084,0.4204056545789797,0.41827930010326125,0.0025545234305823015,1,0.44816014184677144,0.45783442893886417,0.4477164764831529,0.45123701575626285,0.004668590455743585,6
4,108.16810321807861,1.52188631336401,38.73571443557739,1.2297600522075964,3.1622776601683795,,False,"{'svc__C': 3.1622776601683795, 'svc__class_weight': None, 'svc__shrinking': False}",0.5980035271636095,0.5945928986495623,0.6112637162183854,0.601286714010519,0.007190898252051447,16,0.6056338028169014,0.6842105263157895,0.5342465753424658,0.6080303014917189,0.06124597430202337,3,0.03919781221513218,0.04740200546946217,0.03555150410209663,0.04071710726223032,0.004955790468034058,17,0.07363013698630137,0.08866155157715261,0.06666666666666667,0.07631945174337355,0.009178527512745357,17,0.50730397578,0.5600844088020493,0.545834338616784,0.5377409077329444,0.022294562044025832,3
5,90.43845709164937,6.072675309408653,44.190552632013954,3.2290155127797915,3.1622776601683795,,True,"{'svc__C': 3.1622776601683795, 'svc__class_weight': None, 'svc__shrinking': True}",0.5980035271636095,0.5945928986495623,0.6112668780383874,0.6012877679505197,0.0071923605454929105,15,0.6056338028169014,0.6842105263157895,0.5342465753424658,0.6080303014917189,0.06124597430202337,3,0.03919781221513218,0.04740200546946217,0.03555150410209663,0.04071710726223032,0.004955790468034058,17,0.07363013698630137,0.08866155157715261,0.06666666666666667,0.07631945174337355,0.009178527512745357,17,0.5073013383675662,0.5600844094478539,0.5457588045463282,0.5377148507872495,0.022286648353148177,4
6,107.67814787228902,1.498657280453337,54.63842272758484,8.234011343130577,3.1622776601683795,balanced,False,"{'svc__C': 3.1622776601683795, 'svc__class_weight': 'balanced', 'svc__shrinking': False}",0.6539455188658028,0.6562252830801769,0.6553560257965597,0.6551756092475132,0.0009394125173613034,3,0.3127182044887781,0.31806615776081426,0.32233883058470764,0.3177077309447667,0.003935773024982237,12,0.5715587967183227,0.5697356426618049,0.5879671832269827,0.5764205408690368,0.00819856430460778,3,0.4042553191489362,0.4082299150881777,0.41639767591994836,0.40962763671902075,0.005054662949965519,3,0.4407949716824192,0.39727015596046056,0.42337649044997416,0.4204805393642846,0.017886536751155313,7
7,98.69124507904053,7.779042881450338,48.90320062637329,3.2570816860483394,3.1622776601683795,balanced,True,"{'svc__C': 3.1622776601683795, 'svc__class_weight': 'balanced', 'svc__shrinking': True}",0.6539455188658028,0.6562252830801769,0.6553560257965597,0.6551756092475132,0.0009394125173613034,3,0.3127182044887781,0.31806615776081426,0.32233883058470764,0.3177077309447667,0.003935773024982237,12,0.5715587967183227,0.5697356426618049,0.5879671832269827,0.5764205408690368,0.00819856430460778,3,0.4042553191489362,0.4082299150881777,0.41639767591994836,0.40962763671902075,0.005054662949965519,3,0.44079497153589076,0.39727015596046455,0.4233764904499739,0.4204805393154431,0.017886536695680893,8
8,119.35019969940186,2.8508059263770105,33.80935271581014,0.4212672501703992,10.0,,False,"{'svc__C': 10.0, 'svc__class_weight': None, 'svc__shrinking': False}",0.5994682751012547,0.5970649554572527,0.6113109003014916,0.6026147102866664,0.006226918815822779,13,0.388268156424581,0.38726790450928383,0.3641456582633053,0.37989390639905674,0.011143177747914111,5,0.1267092069279854,0.13309024612579762,0.11850501367365543,0.12610148890914616,0.00596988231673913,15,0.19106529209621992,0.19810040705563092,0.17881705639614856,0.18932758518266646,0.007967710760822849,15,0.3766443735193713,0.48368045618062,0.40018885961685424,0.4201712297722818,0.04592495389682178,9
9,89.9414119720459,6.8904575554794425,32.88710641860962,1.15986882423635,10.0,,True,"{'svc__C': 10.0, 'svc__class_weight': None, 'svc__shrinking': True}",0.5994682751012547,0.5970649554572527,0.6113074952645665,0.602613575274358,0.006225333721974131,14,0.388268156424581,0.38726790450928383,0.3641456582633053,0.37989390639905674,0.011143177747914111,5,0.1267092069279854,0.13309024612579762,0.11850501367365543,0.12610148890914616,0.00596988231673913,15,0.19106529209621992,0.19810040705563092,0.17881705639614856,0.18932758518266646,0.007967710760822849,15,0.3766443735193718,0.4836488637212008,0.4001892710115682,0.420160836084047,0.04591033136758014,10
