,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__min_samples_leaf,param_rf__min_samples_split,params,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_f1-score,split1_test_f1-score,split2_test_f1-score,mean_test_f1-score,std_test_f1-score,rank_test_f1-score,split0_test_AUPRC,split1_test_AUPRC,split2_test_AUPRC,mean_test_AUPRC,std_test_AUPRC,rank_test_AUPRC
0,8.787129322687784,0.08670172817923508,0.23711236317952475,0.0027926857863467204,1,2,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2}",0.6213717763205406,0.6417916963796675,0.6412220823454672,0.634795185015225,0.009494631492774828,19,0.5,0.7450980392156863,0.5428571428571428,0.595985060690943,0.10688059988248505,7,0.037374658158614404,0.03463992707383774,0.03463992707383774,0.03555150410209663,0.0012891645965114808,1,0.06955046649703138,0.06620209059233449,0.06512425021422451,0.06695893576786345,0.001884579282905918,1,0.5389244841802779,0.4952391790328965,0.5552347825758492,0.5297994819296746,0.025328736784871166,1
1,8.841132958730062,0.17298284890147805,0.2555806636810303,0.028548877237174246,1,5,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5}",0.6341343410202611,0.6256536454811755,0.6480034565989129,0.63593048103345,0.00921224198046156,18,0.5373134328358209,0.6818181818181818,0.5757575757575758,0.5982963968038595,0.061108670744453725,6,0.032816773017319965,0.027347310847766638,0.03463992707383774,0.03160133697964145,0.003098766036823328,4,0.06185567010309278,0.0525854513584575,0.0653482373172829,0.05992978625961106,0.005385409163758166,4,0.4814057033050778,0.5149552177475986,0.4883899214108925,0.4949169474878563,0.014453235667472551,3
2,8.79967999458313,0.11940449095707885,0.23801740010579428,0.0044036216642416096,1,10,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10}",0.631882388326951,0.6326410244685954,0.6338247612339465,0.6327827246764975,0.0007992756467148632,20,0.546875,0.6792452830188679,0.53125,0.5857900943396226,0.06638995593991105,12,0.03190519598906107,0.032816773017319965,0.03099361896080219,0.03190519598906107,0.0007442995268256396,3,0.06029285099052541,0.06260869565217392,0.05857019810508183,0.06049058158259372,0.001654627581410586,3,0.47210805208410456,0.512808126393519,0.48735767663137236,0.4907579517029987,0.016788794181834644,6
3,8.794461170832315,0.12089646895005741,0.24680868784586588,0.010418295436456485,1,20,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 20}",0.6337305870444212,0.6379655293519046,0.6390638969772028,0.6369200044578429,0.002299404334148858,17,0.4838709677419355,0.6607142857142857,0.5873015873015873,0.5772956135859362,0.07254184728079908,15,0.027347310847766638,0.03372835004557885,0.03372835004557885,0.031601336979641445,0.003008050725193455,5,0.05176876617773943,0.06418039895923677,0.06379310344827586,0.05991408952841735,0.005761783220411712,5,0.47105033645988315,0.5114952081317464,0.492849735819016,0.4917984268035485,0.016528275754453328,5
4,8.714762687683105,0.0953050583563919,0.2398373285929362,0.007938694895200039,2,2,"{'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2}",0.6314481187690768,0.6345446833267017,0.6479680685365832,0.6379869568774539,0.007170035819477689,16,0.6268656716417911,0.7045454545454546,0.5294117647058824,0.620274296964376,0.07164978248075575,5,0.03828623518687329,0.028258887876025523,0.032816773017319965,0.033120632026739594,0.004099282152303872,2,0.07216494845360825,0.05433829973707274,0.06180257510729614,0.06276860776599237,0.007309686059785792,2,0.4969246209578374,0.4368607591827704,0.5007443191707373,0.478176566437115,0.029256275342998628,10
5,8.798367341359457,0.08463533862441082,0.2527444362640381,0.02316761322397286,2,5,"{'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5}",0.6407819964387951,0.640201300918679,0.6403264360256798,0.6404365777943847,0.00024953320244112693,15,0.5166666666666667,0.6666666666666666,0.5606060606060606,0.5813131313131313,0.06296341309549387,13,0.028258887876025523,0.027347310847766638,0.03372835004557885,0.02977818292312367,0.002817872529776877,6,0.05358686257562662,0.05253940455341506,0.06362854686156492,0.05658493799686887,0.00499890731101591,6,0.49033855679557903,0.5030850664568884,0.49972592978109276,0.49771651767785335,0.0053942364233780194,2
6,8.582523902257284,0.1832728403313059,0.27098242441813153,0.04620675549873496,2,10,"{'rf__min_samples_leaf': 2, 'rf__min_samples_split': 10}",0.6365419110243437,0.6449913366131945,0.6469567725698009,0.6428300067357796,0.004518174069393924,14,0.5517241379310345,0.6346153846153846,0.5245901639344263,0.5703098954936151,0.046800712847880586,16,0.02917046490428441,0.0300820419325433,0.02917046490428441,0.029474323913704043,0.0004297215321704941,7,0.05541125541125541,0.057441253263707574,0.055267702936096716,0.056040070537019905,0.0009925175408884808,7,0.45507155232126184,0.5620629122236283,0.45879033051940366,0.4919749316880979,0.04958293449352242,4
7,8.385518709818522,0.1066357907900259,0.26947665214538574,0.046718961154198754,2,20,"{'rf__min_samples_leaf': 2, 'rf__min_samples_split': 20}",0.6448710844313876,0.6521728027053504,0.6492194196065918,0.64875443558111,0.002998992058013869,13,0.5932203389830508,0.6428571428571429,0.5238095238095238,0.5866290018832392,0.048823957191794505,11,0.03190519598906107,0.024612579762989972,0.0300820419325433,0.028866605894864783,0.0030987660368233267,8,0.06055363321799308,0.047410008779631245,0.05689655172413793,0.054953397907254085,0.0055389891322772545,8,0.4866556755010249,0.4866620266913752,0.4477516663096145,0.47368978950067153,0.018341022982924424,11
8,12.913062731424967,0.19209805308551628,0.2541155020395915,0.016591922385763035,5,2,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2}",0.6498282252356326,0.6519575557282937,0.6568328389544007,0.652872873306109,0.002931951345490115,10,0.5409836065573771,0.71875,0.5084745762711864,0.5894027276095212,0.09242022476593768,8,0.0300820419325433,0.020966271649954422,0.027347310847766638,0.02613187481008812,0.003819448523238084,9,0.05699481865284974,0.04074402125775022,0.05190311418685121,0.04988065136581706,0.006786745459152587,9,0.48358423806285616,0.47031042682324387,0.4853859634667098,0.4797602094509366,0.006722368004937231,7
9,13.22569195429484,0.4102177148901609,0.24045864741007486,0.0039613254323711145,5,5,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5}",0.6498282252356326,0.6519575557282937,0.6568328389544007,0.652872873306109,0.002931951345490115,10,0.5409836065573771,0.71875,0.5084745762711864,0.5894027276095212,0.09242022476593768,8,0.0300820419325433,0.020966271649954422,0.027347310847766638,0.02613187481008812,0.003819448523238084,9,0.05699481865284974,0.04074402125775022,0.05190311418685121,0.04988065136581706,0.006786745459152587,9,0.4835842380628559,0.47031042682324387,0.48538596346670987,0.47976020945093656,0.006722368004937194,8
