,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__class_weight,param_pca__apply_PCA,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2921408812204997,0.002948296156406742,0.014251391092936197,0.00022567182984911335,0.001,,True,0.5,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.5}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
1,0.24579747517903647,0.028720225461031833,0.015720287958780926,0.0028453030146380694,0.001,,True,0.7,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.7}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
2,0.22783859570821127,0.005654010440395004,0.018181403477986652,0.006039894872440837,0.001,,True,0.8,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.8}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
3,0.22892141342163086,0.006564728791530957,0.021695931752522785,0.0053783127527745,0.001,,True,0.9,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.9}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
4,0.2412113348642985,0.0012484246764356633,0.014176448186238607,0.0002763599649248286,0.001,,True,0.95,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.95}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
5,0.21299298604329428,0.013735651409790715,0.014207998911539713,0.0005395545834675376,0.001,,True,,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': None}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
6,0.07714653015136719,0.00415828972180199,0.009688297907511393,0.0020607180821166737,0.001,,False,0.5,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.5}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
7,0.06716386477152507,0.0004488469096068779,0.00864569346110026,0.0015930320116960806,0.001,,False,0.7,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.7}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
8,0.06429052352905273,0.0016372990030354925,0.008664687474568685,0.0009854162689415234,0.001,,False,0.8,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.8}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
9,0.06794158617655437,0.002052324618154131,0.0069742997487386065,0.0007772402122911187,0.001,,False,0.9,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.9}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
10,0.0697929859161377,0.00407665026120867,0.00804607073465983,0.0006978060218611629,0.001,,False,0.95,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.95}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
11,0.07097689310709636,0.0025449793256767067,0.009569644927978516,0.0009647834764281887,0.001,,False,,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': None}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,109
12,0.22850743929545084,0.007177676497855487,0.023348490397135418,0.0025407540190306942,0.001,balanced,True,0.5,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.5}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
13,0.22284380594889322,0.013176424540982076,0.017915964126586914,0.004112666369280187,0.001,balanced,True,0.7,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.7}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
14,0.23668225606282553,0.004490318145278299,0.017976999282836914,0.0014357818235808057,0.001,balanced,True,0.8,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.8}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
15,0.21790122985839844,0.004846020393171549,0.01416341463724772,0.0009733813016081063,0.001,balanced,True,0.9,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.9}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
16,0.22517736752827963,0.01209511414099793,0.015558560689290365,0.002344554324952383,0.001,balanced,True,0.95,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.95}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
17,0.1925652821858724,0.00658357902905402,0.015182574590047201,0.0017591896127318637,0.001,balanced,True,,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': None}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
18,0.07532342274983723,0.0066189045292552404,0.006976683934529622,0.0011568041339999784,0.001,balanced,False,0.5,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.5}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
19,0.07852880160013835,0.004378771496838455,0.00717933972676595,0.0006071477967314332,0.001,balanced,False,0.7,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.7}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
20,0.07876205444335938,0.01438460328916183,0.007962624231974283,0.00046518026228503293,0.001,balanced,False,0.8,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.8}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
