,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__apply_PCA,param_pca__n_components,param_rf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,6.797018686930339,0.03128240085516831,0.12345925966898601,0.0019268246772760622,True,0.9,20,"{'pca__apply_PCA': True, 'pca__n_components': 0.9, 'rf__max_depth': 20}",0.6637669163919251,0.65867946344401,0.6579760801020345,0.6601408199793232,0.002580066979305711,43
11,6.624880313873291,0.09841296604879486,0.121155579884847,0.001305400766249784,True,0.9,30,"{'pca__apply_PCA': True, 'pca__n_components': 0.9, 'rf__max_depth': 30}",0.6655866663197697,0.6546325770584178,0.6621543036261698,0.6607911823347857,0.004574683422757943,41
12,5.778683582941691,0.3814223492582125,0.12175742785135905,0.0004921739251144718,True,0.95,,"{'pca__apply_PCA': True, 'pca__n_components': 0.95, 'rf__max_depth': None}",0.6646894352623477,0.6562305122440264,0.6636057006155334,0.6615085493739692,0.003758268852806853,31
13,4.31075119972229,0.050187196433990396,0.12201436360677083,0.002087994419122137,True,0.95,10,"{'pca__apply_PCA': True, 'pca__n_components': 0.95, 'rf__max_depth': 10}",0.6761876093120426,0.6726810968888663,0.6702786001212194,0.6730491021073761,0.002426337196261881,19
14,5.5650936762491865,0.053133745798521724,0.1384450594584147,0.022275191695493857,True,0.95,20,"{'pca__apply_PCA': True, 'pca__n_components': 0.95, 'rf__max_depth': 20}",0.6637669163919251,0.65867946344401,0.6579760801020345,0.6601408199793232,0.002580066979305711,43
15,5.735355933507283,0.13032419849192187,0.13257694244384766,0.014950047099371115,True,0.95,30,"{'pca__apply_PCA': True, 'pca__n_components': 0.95, 'rf__max_depth': 30}",0.6655866663197697,0.6546325770584178,0.6621543036261698,0.6607911823347857,0.004574683422757943,41
16,5.506986061731975,0.13194785870467285,0.12374202410380046,0.00010217403720776474,True,0.99,,"{'pca__apply_PCA': True, 'pca__n_components': 0.99, 'rf__max_depth': None}",0.6646894352623477,0.6562305122440264,0.6636057006155334,0.6615085493739692,0.003758268852806853,31
17,4.590205748875936,0.10000793593172178,0.15235416094462076,0.022822012100666658,True,0.99,10,"{'pca__apply_PCA': True, 'pca__n_components': 0.99, 'rf__max_depth': 10}",0.6761876093120426,0.6726810968888663,0.6702786001212194,0.6730491021073761,0.002426337196261881,19
18,5.718537886937459,0.06475005366925735,0.12391964594523112,0.003000420995350293,True,0.99,20,"{'pca__apply_PCA': True, 'pca__n_components': 0.99, 'rf__max_depth': 20}",0.6637669163919251,0.65867946344401,0.6579760801020345,0.6601408199793232,0.002580066979305711,43
19,5.481508493423462,0.08876502497163555,0.12208072344462077,0.0016600949479076124,True,0.99,30,"{'pca__apply_PCA': True, 'pca__n_components': 0.99, 'rf__max_depth': 30}",0.6655866663197697,0.6546325770584178,0.662154546843093,0.6607912634070936,0.0045747075812973504,37
20,6.1889603932698565,0.6112364756692167,0.13393870989481607,0.00845321455161851,True,,,"{'pca__apply_PCA': True, 'pca__n_components': None, 'rf__max_depth': None}",0.6646894352623477,0.6562305122440264,0.6636057006155334,0.6615085493739692,0.003758268852806853,31
21,5.79810110727946,0.20586003089114127,0.1266462802886963,0.0027808788693140718,True,,10,"{'pca__apply_PCA': True, 'pca__n_components': None, 'rf__max_depth': 10}",0.6761876093120426,0.6726810968888663,0.6702786001212194,0.6730491021073761,0.002426337196261881,19
22,6.294039964675903,0.04908005230532476,0.14747007687886557,0.01611954557588315,True,,20,"{'pca__apply_PCA': True, 'pca__n_components': None, 'rf__max_depth': 20}",0.6637669163919251,0.65867946344401,0.6579760801020345,0.6601408199793232,0.002580066979305711,43
