,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__bootstrap,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_AUPRC,split1_test_AUPRC,split2_test_AUPRC,mean_test_AUPRC,std_test_AUPRC,rank_test_AUPRC
0,2.144610325495402,0.019420004528106993,0.15041756629943848,0.04671873939614049,True,,2,1,2,100,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.5906923098058602,0.6032472864287876,0.5801505561398167,0.5913633841248215,0.009441133161739395,1049,0.5661970546007418,0.6188904568635165,0.5632935123875104,0.5827936746172563,0.025551789314337707,496
1,4.020097096761067,0.07956402529755355,0.18070395787556967,0.04684305452600341,True,,2,1,2,200,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.5911275519719267,0.607057765965002,0.5818496695654882,0.593344995834139,0.010409925519533196,1039,0.5657151521966179,0.600925258323076,0.5713710436058506,0.5793371513751815,0.015438740192635652,568
2,5.957502285639445,0.08010590576644962,0.25187333424886066,0.047306593242614284,True,,2,1,2,300,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",0.5910110821408954,0.6080443754140767,0.5825695916582433,0.5938750164044051,0.010595368216061768,1036,0.555865593346729,0.6030488794551165,0.5733645892419812,0.5774263540146088,0.019475438750686434,602
3,10.452822049458822,0.05729950482444796,0.5586159229278564,0.042472269355238276,True,,2,1,2,500,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",0.5919652107775686,0.6082261800641898,0.5841095196076619,0.5947669701498067,0.010042931828863785,999,0.5551809056136693,0.5990999063780904,0.5545683501631995,0.5696163873849863,0.020849496000423587,853
4,2.204591751098633,0.033737389590042244,0.11576525370279948,0.0017182376952511928,True,,2,1,5,100,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.6009404391763662,0.613873677021546,0.5902481931414774,0.6016874364464632,0.009659516062170527,896,0.5370340424929891,0.607914727233716,0.5585511456957011,0.5678333051408021,0.029671947810480128,884
5,4.065411567687988,0.11087250945876037,0.18335302670796713,0.04874788439209537,True,,2,1,5,200,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.6025953320156113,0.6152496767647091,0.5905801842416837,0.6028083976740014,0.010072404978189687,866,0.5462270131510232,0.5913401685357289,0.5672223289719072,0.5682631702195531,0.018432068251975988,875
6,5.872296969095866,0.15239096328242244,0.28467702865600586,0.04643078983617762,True,,2,1,5,300,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.6025361244919034,0.6151154210230871,0.5896571760180331,0.6024362405110079,0.01039352498085768,870,0.5537898615090282,0.6012962151083413,0.5765929948641131,0.5772263571604942,0.019399557880264522,606
7,10.200703064600626,0.13285324482964922,0.44997358322143555,0.032323418531513326,True,,2,1,5,500,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",0.6016756093937417,0.6157367186534733,0.5900576326821282,0.6024899869097812,0.010499246707420072,869,0.5580304858480072,0.5994230723182046,0.5810668429393833,0.5795068003685316,0.016934419649348165,563
8,2.2225359280904136,0.04208160329630422,0.11503903071085612,0.0007678036880007217,True,,2,1,10,100,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.6116086137099337,0.620548157437233,0.5953688822431216,0.6091752177967628,0.010422412918893486,730,0.6029769037562517,0.5736965565977119,0.5802050603752926,0.5856261735764187,0.012553247486493151,459
9,3.9911932150522866,0.15339599262661396,0.14907145500183105,0.04775086269065071,True,,2,1,10,200,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",0.6142962948734065,0.6224581399353433,0.596568914542329,0.6111077831170263,0.010807033304843828,706,0.5947376728690787,0.5744596043148957,0.5892845724684774,0.5861606165508173,0.008568132488224385,456
10,5.759649594624837,0.06223628735898348,0.28887343406677246,0.05127012989437322,True,,2,1,10,300,"{'rf__bootstrap': True, 'rf__max_depth': None, 'rf__max_features': 2, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.6134204611962156,0.6216282837932889,0.5976579183160827,0.6109022211018624,0.009946548988043235,711,0.5824643205152567,0.5728054862740615,0.5902966432128118,0.5818554833340434,0.0071537008976202705,512
