,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__class_weight,param_pca__apply_PCA,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6676892439524332,0.0331823424219444,0.049625396728515625,0.019642864674252185,0.001,,True,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': True}",0.660686179942728,0.6685517599663,0.6519434491467464,0.6603937963519247,0.006783465839468474,13
1,0.25304460525512695,0.024661377979846646,0.041661341985066734,0.004473866529302234,0.001,,False,"{'lr__C': 0.001, 'lr__class_weight': None, 'pca__apply_PCA': False}",0.6633941643022156,0.6684116670185204,0.653079758612068,0.6616285299776014,0.006382525742063425,10
2,0.8904018402099609,0.01254225433628715,0.08938376108805339,0.015683247030371054,0.001,balanced,True,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True}",0.6598120483298738,0.6689530678896263,0.6518522428005358,0.6602057863400119,0.006986931939813899,15
3,0.40251890818277997,0.046432273793989946,0.038802544275919594,0.022257060807041044,0.001,balanced,False,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,11
4,0.8222383658091227,0.00785917488075521,0.056182543436686196,0.019618862291277635,0.014677992676220698,,True,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': True}",0.6580849393323482,0.6658929125615705,0.6485987300185138,0.6575255273041442,0.007071392782241998,23
5,0.49828799565633136,0.0952294188735799,0.02065300941467285,0.01943081795967845,0.014677992676220698,,False,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': False}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,16
6,0.832209587097168,0.1077119423305994,0.04801313082377116,0.0022699564874977657,0.014677992676220698,balanced,True,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True}",0.6586432164347442,0.6671323460023407,0.6497605772607744,0.6585120465659532,0.007092601377655177,17
7,0.8016045888264974,0.0668860843169781,0.032014687856038414,0.018947301699082646,0.014677992676220698,balanced,False,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,14
8,0.944732666015625,0.018976950941975674,0.07612967491149902,0.008624148142680659,0.21544346900318845,,True,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': True}",0.6576718240026572,0.6650358161241146,0.6476389960394555,0.6567822120554091,0.007130025447687826,24
9,1.7403643131256104,0.03398322662821685,0.0353086789449056,0.04257028870947824,0.21544346900318845,,False,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': False}",0.663985996387247,0.6680825945213928,0.652233120502311,0.6614339038036503,0.0067174568147389865,12
